A R S Sport Strip - Belle Plaine, MN
Cape Canaveral As Skid Strip - Cocoa Beach, FL
Cape Cod - Marstons Mills, MA
Cape Girardeau Airport - Cape Girardeau, MO
Cape Lisburne Airport - Cape Lisburne, AK
Cape May County Airport - Wildwood, NJ
Cape Newenham Airport - Cape Newenham, AK
Cape Pole Airport - Cape Pole, AK
Cape Romanzof Airport - Cape Romanzof, AK
Cape Sabine - Cape Beaufort, AK
Cape Sarichef - Cape Sarichef, AK
Capital Airport - Springfield, IL
Capital City - Harrisburg, PA
Capital City Airport - Frankfort, KY
Capital City Airport - Harrisburg, PA
Capital City Airport - Lansing, MI
Capitol - Brookfield, WI
Carbon County Airport - Price, UT
Carey - Carey, ID
Caribou Municipal Airport - Caribou, ME
Carl R. Keller Field - Port Clinton, OH
Carleton Airport - Stanton, MN
Carlisle - Carlisle, PA
Carlisle Municipal - Carlisle, AR
Carlsbad Airport - Carlsbad, NM
Carmel Valley Vintage - Carmel Valley, CA
Carmi Municipal - Carmi, IL
Carnegie Municipal - Carnegie, OK
Caro Municipal - Caro, MI
Carrabelle - Pehrson, FL
Carrabelle-Thompson - Carrabelle, FL
Carriage Lane - Gregory, MI
Carrington Municipal - Carrington, ND
Carrizo Springs Airport - Carrizo Springs, TX
Carrizozo Municipal - Carrizozo, NM
Carroll - De Soto, TX
Carroll - Jackson, KY
Carroll Airport - Carroll, IA
