A R S Sport Strip - Belle Plaine, MN
Carroll Co - Berryville, AR
Carroll Co - Huntingdon, TN
Carroll Co Regional/Poage - Westminster, MD
Carroll Co-Tolson - Carrollton, OH
Carson City Airport - Carson City, NV
Carter - Pulaski, WI
Carter Memorial - Luling, TX
Cartersville - Cartersville, GA
Carthage - Carthage, IL
Carthage-Leake Co - Carthage, MS
Caruthersville Memorial - Caruthersville, MO
Casa De Aero Park - Hampshire, IL
Casa Grande Municipal Airport - Casa Grande, AZ
Cascabel - Tucson, AZ
Cascade - Cascade, ID
Cascade Locks/Stevens Airport - Cascade Locks, OR
Casco Cove Airport - Attu Island, AK
Casement Airport - Painesville, OH
Casey Municipal - Casey, IL
Cashmere-Dryden - Cashmere, WA
Casper Airport - Casper, WY
Casselton Regional - Casselton, ND
Cassville Municipal - Cassville, MO
Cassville Municipal - Cassville, WI
Castle Air Force Base - Merced, CA
Castroville Municipal - Castroville, TX
Caswell - Yanceyville, NC
Catalina Sea Plane Base - San Pedro, CA
Causey - Liberty, NC
Cavalier Municipal - Cavalier, ND
Cavanaugh Bay - Coolin, ID
Cawker City - Cawker City, KS
Cecil Co - Elkton, MD
Cecil Field Naval Air Station - Jacksonville, FL
Cedar Air Park - Olathe, KS
Cedar City Airport - Cedar City, UT
Cedar Mills - Gordonville, TX
Cedar Rapids Airport - Cedar Rapids, IA
Cedars North - Battle Ground, WA
Cedarville - Cedarville, CA
Centennial Airport - Denver, CO
Center Island Airport - Center Island, WA
Center Municipal - Center, TX
Centerport Heliport - Santa Ana, CA
Centerville Municipal - Centerville, IA
Centerville Municipal Airport - Centerville, TN
Central Airport - Central, AK
Central Business District Heliport - Houston, TX
Central City Municipal - Central City, NE
Central Co - Iola, WI
Central Colorado Regional - Buena Vista, CO
Central Maine Airport - Norridgewock, ME
Central Wisconsin Airport - Wausau, WI
Centralia Airport - Chehalis, WA
Centralia Municipal Airport - Centralia, IL
Centre Airpark - Centre Hall, PA
Centre Municipal - Centre, AL
Century City Airport - Los Angeles, CA
Cessna Aircraft Field - Wichita, KS
Chadron Airport - Chadron, NE
Chaffee Air Force Base - Fort Chaffee, AR
Chalet Suzanne - Lake Wales, FL
Chalkyitsik Airport - Chalkyitsik, AK
Challis Airport - Challis, ID
Chamberlain Municipal - Chamberlain, SD
Chamberlain Usfs - Chamberlain Guard Station, ID
Chambers Co-Winnie Stowell Airport - Winnie/Stowell, TX
Chambers County Airport - Anahuac, TX
Chambers Municipal - Lanett, AL
Chambersburg Municipal - Chambersburg, PA
Champion Executive - Orwell, OH
Chan Gurney Airport - Yankton, SD
Chandalar Airport - Chandalar, AK
Chandalar Shelf - Chandalar Camp, AK
Chandelle Estates - Dover, DE
Chandler Municipal - Chandler, AZ
Chandler Municipal - Chandler, OK
Chaplin - Cambridge, NY
Chariton Municipal - Chariton, IA
Charles City Municipal Airport - Charles City, IA
Charleston Executive - Charleston, SC
Charleston International Airport - Charleston, SC
Charleston Municipal - Charleston, MS
Charlevoix Municipal - Charlevoix, MI
Charlotte County Airport - Punta Gorda, FL
Charlotte Douglas International Airport - Charlotte, NC
Chase City Municipal - Chase City, VA
Chase Co - Cottonwood Falls, KS
Chase Field Naval Air Station - Beeville, TX
Chase Jr Memorial - Dover Foxcroft, ME
Chatham Municipal - Chatham, MA
Chatham Sea Plane Base - Chatham, AK
Chattanooga Sky Harbor - Chattanooga, OK
Cheboygan Co - Cheboygan, MI
Chefornak Sea Plane Base - Chefornak, AK
Chehalem - Newberg, OR
Chelan Municipal - Chelan, WA
Chemehuevi Valley - Chemehuevi Valley, CA
Chena Hot Springs Airport - Chena Hot Springs, AK
Chenega Bay - Chenega, AK
Chennault International - Lake Charles, LA
Cheraw Airport - Cheraw, SC
Chernofski Sea Plane Base - Chernofski, AK
Cherokee Co - Canton, GA
Cherokee Co - Jacksonville, TX
Cherokee Municipal - Cherokee, IA
Cherokee Municipal - Cherokee, OK
Cherokee Village Airport - Cherokee Village, AR
Cherry Ridge - Honesdale, PA
Cherry Springs - Galeton, PA
Chesapeake Regional - Chesapeake, VA
Chess-Lambertin Airport - Franklin, PA
Chester - Chester, CT
Chester Municipal - Chester, SC
Chestercounty Carlson Airport - Coatesville, PA
Chesterfield Co - Richmond, VA
Chetek Mun-Southworth - Chetek, WI
Chevak Airport - Chevak, AK
Cheyenne Airport - Cheyenne, WY
Cheyenne Co Municipal - St Francis, KS
Cheyenne Eagle Butte - Eagle Butte, SD
Chicago Midway International Airport - Chicago, IL
Chicago/Rockford International Airport - Rockford, IL
Chickasha Municipal Airport - Chickasha, OK
Chicken Airport - Chicken, AK
Chico Airport - Chico, CA
Chignik Bay Airport - Chignik, AK
Chignik Fisheries Airport - Chignik, AK
Chignik Lagoon Airport - Chignik, AK
Chignik Lake - Chignik Lake, AK
Chignik Lake Airport - Chignik, AK
Childress Airport - Childress, TX
Chilhowee - Benton, TN
Chillicothe Municipal - Chillicothe, MO
Chim Commercial - Minersville, PA
China Basin Heliport - San Francisco, CA
China Lake Naws - Ridgecrest, CA
Chinle Municipal - Chinle, AZ
Chino Airport - Chino, CA
Chippewa County Airport - Sault Ste. Marie, MI
Chiriaco Summit - Chiriaco, CA
Chisana Field - Chisana, AK
Chisholm Airport - Hibbing, MN
Chistochina Airport - Chistochina, AK
Chitina Airport - Chitina, AK
Chomley Airport - Chomley, AK
Chorman - Farmington, DE
Choteau - Choteau, MT
Chowchilla - Chowchilla, CA
Christmas Valley - Christmas Valley, OR
Chuathbaluk Airport - Chuathbaluk, AK
Church - Cresco, IA
Cimarron Municipal - Cimarron, KS
Cincinnati Blue Ash Airport - Cincinnati, OH
Cincinnati Municipal Airport - Cincinnati, OH
Cincinnati West Airport - Harrison, OH
Cincinnati/Northern Kentucky Airport - Cincinnati, OH
Cinder Park Airport - Cinder Park, AK
Cindy Guntly Memorial - Franksville, WI
Circle City Airport - Circle, AK
Circle Hot Springs Airport - Circle Hot Springs, AK
Circle Town Co - Circle, MT
Cisco Municipal - Cisco, TX
Citicorp Plaza Heliport - Los Angeles, CA
City And Co - Las Animas, CO
City Of Coalgate - Coalgate, OK
City of Industry Heliport - Los Angeles, CA
City Of-Swisher Co Municipal - Tulia, TX
City-Co - Gatesville, TX
Civic Ar Heliport - Pittsburgh, PA
Clare Co - Harrison, MI
Clare Municipal - Clare, MI
Claremont Municipal Airport - Claremont, NH
Claremore Regional - Claremore, OK
Clarence - Buffalo, NY
Clarendon Municipal - Clarendon, AR
Clarendon Municipal - Clarendon, TX
Clarinda Municipal Airport - Clarinda, IA
Clarion Co - Clarion, PA
Clarion Municipal - Clarion, IA
Clarissa Municipal - Clarissa, MN
Clark Co - Clark, SD
Clark Field - Stephenville, TX
Clark Memorial - Williams, AZ
Clark Regional Airport - Jeffersonville, IN
Clarke Co - Quitman, MS
Clarks Dream Strip - Circleville, OH
Clarks Point Airport - Clarks Point, AK
Clarksville Municipal - Clarksville, AR
Clarksville-Red River Co - Clarksville, TX
Claxton-Evans Co - Claxton, GA
Clay Center Municipal - Clay Center, KS
Clayton Municipal - Clayton, AL
Clayton Municipal Airpark - Clayton, NM
Cle Elum Municipal Airport - Cle Elum, WA
Clear Lake Airport - Clear Lake, CA
Clear Lake Municipal - Clear Lake, SD
Clear Sky Lodge - Clear, AK
Clearfield-Lawrence - Clearfield, PA
Clearview Airpark - Westminster, MD
Cleburne Municipal - Cleburne, TX
Clements Municipal - Bay City, MI
Clermont County Airport - Batavia, OH
Cleveland Hopkins International Airport - Cleveland, OH
Cleveland Municipal - Cleveland, MS
Cleveland Municipal - Cleveland, OK
Cleveland Municipal - Cleveland, TX
Clifton Municipal/Isenhower - Clifton, TX
Clinton - Clinton, IN
Clinton - Wilmington, OH
Clinton Airport - Clinton, IA
Clinton County Airport - Plattsburgh, NY
Clinton Field - Wilmington, OH
Clinton Memorial - Clinton, MO
Clinton Municipal - Clinton, AR
Clinton Municipal Airport - Clinton, OK
Clintonville Airport - Clintonville, WI
Clio Crop Care - Clio, SC
Cloquet Carlton Co - Cloquet, MN
Cloverdale Municipal - Cloverdale, CA
Clovis Municipal Airport - Clovis, NM
Clow International - Plainfield, IL
Cluck Ranch - Gruver, TX
Coal Creek - Yukon Charley Rivers, AK
Coalinga Airport - Coalinga, CA
Coast Guard Heliport - Point Retreat, AK
Coastal - Pensacola, FL
Coastal Carolina Regional Airport - New Bern, NC
Cobb Co-Mc Collum - Marietta, GA
Cochise Co - Willcox, AZ
Cochise College - Douglas, AZ
Cochran - Cochran, GA
Cochran - Morton, TX
Coeur D'Alene Airport - Coeur D'Alene, ID
Coffee Point Airport - Coffee Point, AK
Coffey Co - Burlington, KS
Coffeyville Municipal Airport - Coffeyville, KS
Coffield Airport - Rockdale, TX
Coffman Cove Sea Plane Base - Coffman Cove, AK
Cokeville Municipal - Cokeville, WY
Col Dyke - Bethel, ME
Colby Municipal Airport - Colby, KS
Cold Bay Airport - Cold Bay, AK
Cold Meadows Usfs - Cold Meadows Guard Station, ID
Coldfoot Airport - Coldfoot, AK
Cole Ranch - Sterling City, TX
Colebrook - Colebrook, NH
Coleman A. Young Municipal Airport - Detroit, MI
Coleman Airport - Coleman, TX
Coles County Memorial Airport - Mattoon, IL
Colfax - Colfax, LA
College Park Airport - College Park, MD
Collegedale Municipal - Collegedale, TN
Colonel James Jabara Airport - Wichita, KS
Colorado City - Colorado City, TX
Colorado City Municipal - Colorado City, AZ
Colorado Springs Airport - Colorado Springs, CO
Colorado Springs East - Ellicott, CO
Colstrip - Colstrip, MT
Columbia - Columbia, LA
Columbia Airport - Columbia Station, OH
Columbia Airport - Columbia, CA
Columbia County Airport - Hudson, NY
Columbia Metropolitan Airport - Columbia, SC
Columbia Regional Airport - Columbia, MO
Columbia-Adair Co - Columbia, KY
Columbia-Marion Co - Columbia, MS
Columbiana Co - East Liverpool, OH
Columbus - Columbus, MT
Columbus Air Force Base - Columbus, MS
Columbus Airport - Columbus, GA
Columbus Airport - Columbus, NE
Columbus Co Municipal - Whiteville, NC
Columbus Municipal - Columbus, ND
Columbus Municipal Airport - Columbus, IN
Columbus Municipal Airport - Columbus, NM
Columbus Southwest Airport - Columbus, OH
Colusa Co - Colusa, CA
Colville Municipal - Colville, WA
Comanche Co - Coldwater, KS
Comanche Co-City - Comanche, TX
Commerce Bus. Plaza Heliport - Los Angeles, CA
Commerce Municipal - Commerce, TX
Compton Airport - Compton, CA
Conchas State Park - Conchas Dam, NM
Concord - Painesville, OH
Concord Municipal Airport - Concord, NH
Concord Regional Airport - Concord, NC
Concordia Parish - Vidalia, LA
Concrete Municipal - Concrete, WA
Condon State Pauling - Condon, OR
Condon Usfs - Condon, MT
Condron Army Air Field - White Sands, NM
Connellsville - Connellsville, PA
Conrad - Conrad, MT
Convention Center Heliport - Oakland, CA
Converse - Converse, IN
Converse County Airport - Douglas, WY
Conway-Horry Co - Conway, SC
Cook Co - Adel, GA
Cook Municipal - Cook, MN
Coolidge Municipal - Coolidge, AZ
Cooperstown Airport - Cooperstown, NY
Cooperstown Municipal - Cooperstown, ND
Copalis State - Copalis, WA
Copeland - Ft Worth, TX
Copiah Co - Crystal Springs, MS
Copper Basin - Mackay, ID
Copper Centre Airport - Copper Centre, AK
Corbin-London Airport - London, KY
Corcoran Airport - Corcoran, CA
Cordell Municipal - Cordell, OK
Cordova City Airport - Cordova, AK
Cornelia Fort Airpark - Nashville, TN
Cornelius-Moore - Cedartown, GA
Cornell Municipal - Cornell, WI
Corner Bay Airport - Corner Bay, AK
Corning Municipal - Corning, AR
Corning Municipal - Corning, CA
Corning Municipal - Corning, IA
Corning-Painted Post - Corning, NY
Corona Municipal - Corona, CA
Coronado - Albuquerque, NM
Corporate - Pelion, SC
Corpus Christi International Airport - Corpus Christi, TX
Corry-Lawrence - Corry, PA
Corsica Municipal - Corsica, SD
Corsicana Airport - Corsicana, TX
Cortland Airport - Cortland, NY
Corvallis Municipal Airport - Corvallis, OR
Corydon - Corydon, IA
Costin - Port St Joe, FL
Cottage Grove State - Cottage Grove, OR
Cottonwood - Rockford, IL
Cottonwood Airport - Cottonwood, AZ
Cottonwood Municipal - Cottonwood, ID
Cotulla Airport - Cotulla, TX
Coulter Field - Bryan, TX
Council Bluffs Municipal Airport - Council Bluffs, IA
Council Municipal - Council, ID
Country Club - Goffstown, NH
Country Squire - Sandy, OR
County Airport - Beaufort, SC
County Airport - Jasper, TX
County Airport - Washington, PA
County Memorial - New Madrid, MO
County-Foster Airport - Victoria, TX
Coupeville Olf - Coupeville, WA
Cove Valley - Williamsburg, PA
Covington Municipal - Covington, GA
Covington Municipal - Covington, TN
Cowgill - Rio, WI
Cowley - Sandusky, MI
Cox Field - Paris, TX
Cox'S Well - Atomic City, ID
Cozad Municipal - Cozad, NE
Craft Air - Farmville, NC
Craig Air Force Base - Selma, AL
Craig Co South Grand Lake - Ketchum, OK
Craig Sea Plane Base - Craig, AK
Craig-Moffat Airport - Craig, CO
Craigmont Municipal - Craigmont, ID
Cram Field - Burwell, NE
Crandon Municipal - Crandon, WI
Crane County Airport - Crane, TX
Crane Island Airport - Crane Island, WA
Cranland - Hanson, MA
Crawford - Crawford, CO
Crawfordsville Municipal Airport - Crawfordsville, IN
Crazy Horse Municipal - Davis, OK
Creekside - Holcomb, NY
Creighton Municipal - Creighton, NE
Crescent Lake State - Crescent Lake, OR
Crescent Valley - Crescent Valley, NV
Crest - Kent, WA
Crested Butte Airport - Crested Butte, CO
Creston Municipal Airport - Creston, IA
Crete Municipal - Crete, NE
Creve Coeur Airport - St Louis, MO
Crewe Municipal - Crewe, VA
Crews Field - Raton, NM
Crisfield Municipal - Crisfield, MD
Crisp Co-Cordele - Cordele, GA
Crivitz Municipal - Crivitz, WI
Crooked Creek Airport - Crooked Creek, AK
Crookston Municipal Airport - Crookston, MN
Crooksville - Crooksville, OH
Crosby Municipal - Crosby, MS
Crosby Municipal - Crosby, ND
Crosbyton Municipal - Crosbyton, TX
Cross City Airport - Cross City, FL
Cross Keys - Cross Keys, NJ
Cross Winds - Clayton, WA
Crossett Municipal Airport - Crossett, AR
Crosson Field - Sterling, CO
Crossville Memorial Airport - Crossville, TN
Crow Wing County Airport - Brainerd, MN
Crownpoint - Crownpoint, NM
Crystal Airport - Minneapolis, MN
Crystal City Municipal - Crystal City, TX
Crystal Lake - Decatur, AR
Crystal Lake Airport - Crystal Lake, PA
Crystal River - Crystal River, FL
Cuba Municipal - Cuba, MO
Cube Cove Airport - Cube Cove, AK
Cuchara Valley Apt At La Veta - La Veta, CO
Cuddihy Field - Corpus Christi, TX
Cuero Municipal - Cuero, TX
Culberson County Airport - Van Horn, TX
Culmerville - Culmerville, PA
Culpeper Regional - Culpeper, VA
Cumberland Municipal - Cumberland, WI
Cummings Park Airport - Woburn, MA
Cure - Sunfield, MI
Currant Ranch - Currant, NV
Currituck Co - Currituck, NC
Curtis Field - Brady, TX
Curtis Memorial - Noorvik, AK
Curtis Memorial Airport - Noorvik, AK
Curtis Municipal - Curtis, NE
Cushing - Newark, IL
Cushing Municipal Airport - Cushing, OK
Custer - Monroe, MI
Custer Co - Custer, SD
Custer State Park - Fairburn, SD
Cut Bank Municipal Airport - Cut Bank, MT
Cuthbert-Randolph - Cuthbert, GA
Cuyahoga County Airport - Cleveland, OH
Cynthiana-Harrison Co - Cynthiana, KY
Cypress River - Jefferson, TX
Dabbs - Sumter, SC
Dacy - Harvard, IL
Dade Collier Training and Transition Airport - Miami, FL
Dahl Creek Airport - Dahl Creek, AK
Dale Delight - Postville, IA
Dalhart Airport - Dalhart, TX
Dallas Bay - Chattanooga, TN
Dallas Downtown Heliport - Dallas, TX
Dallas Executive Airport - Dallas, TX
Dallas Love Field - Dallas, TX
Dallas North Airport - Dallas, TX
Dallas/Fort Worth International Airport - Dallas, TX
Dalton - Flushing, MI
Dalton Municipal Airport - Dalton, GA
Danaher - Wichita Falls, TX
Danbury Airport - Danbury, CT
Dane County Regional Airport - Madison, WI
Danger Bay Airport - Danger Bay, AK
Daniel Field - Augusta, GA
Danielson - Danielson, CT
Dannelly Field - Montgomery, AL
Dansville Airport - Dansville, NY
Danville - Danville, PA
Danville Municipal - Danville, AR
Danville Municipal Airport - Danville, VA
Darby Dan Airport - Columbus, OH
Dare County Regional Airport - Manteo, NC
Darke Co - Versailles, OH
Darlington Co Jetport - Darlington, SC
Darrington Municipal - Darrington, WA
Dart - Mayville, NY
Dauphin I - Dauphin I, AL
Davenport - Davenport, WA
Davenport Airport - Davenport, IA
David - Calhoun, GA
David City Municipal - David City, NE
David Wayne Hooks Memorial Airport - Houston, TX
David'S - Athens, MI
David'S Landing - St Clair, MI
Davidson - Vermillion, SD
Davidson Co - Lexington, NC
Daviess Co - Washington, IN
Daviess County Airport - Owensboro, KY
Davis - Folkston, GA
Davis - Gates, OR
Davis - Laytonsville, MD
Davis Field - Muskogee, OK
Davis Monthan Air Force Base - Tucson, AZ
Davison Army Air Field - Fort Belvoir, VA
Dawson Aaf - Camp Dawson, WV
Dawson Community Airport - Glendive, MT
Dawson Municipal - Dawson, GA
Dayton Valley - Dayton/Carson City, NV
Dayton-New Lebanon - Dayton, OH
Dayton-Wright Brothers - Dayton, OH
Daytona Beach International Airport - Daytona Beach, FL
De Funiak Springs - De Funiak Springs, FL
De Kalb Co - Auburn, IN
De Kalb Taylor Municipal - De Kalb, IL
De Land Mun-Taylor - De Land, FL
De Quincy Industrial - De Quincy, LA
De Soto Parish - Mansfield, LA
De Vere Field - Cle Elum, WA
De Witt Municipal - De Witt, AR
Dean Memorial - Haverhill, NH
Death Valley Airport - Death Valley, CA
Deblois - Deblois, ME
Decatur Airport - Decatur, IL
Decatur County Airport - Bainbridge, GA
Decatur Hi-Way Airport - Decatur, IN
Decatur Island Airport - Decatur Island, WA
Decatur Municipal - Decatur, TX
Deck Airport - Myerstown, PA
Decker - Meno, OK
Decorah Municipal Airport - Decorah, IA
Deep Bay Airport - Deep Bay, AK
Deer Harbor Seaplane Airport - Orcas Island, WA
Deer Lodge-City-Co - Deer Lodge, MT
Deer Park - Deer Park, WA
Deer Park Airport - Deer Park, NY
Deering Airport - Deering, AK
Defiance Memorial Airport - Defiance, OH
Del Norte Mun-Co - Del Norte, CO
Del Rio International Airport - Del Rio, TX
Delano Municipal - Delano, CA
Delaware - Dover-Cheswold, DE
Delaware County Airport - Muncie, IN
Delaware Municipal - Delaware, OH
Delhi Municipal - Delhi, LA
Dell - Dell, MT
Dell City Municipal - Dell City, TX
Delphi Municipal - Delphi, IN
Delta Airport - Delta, UT
Delta County Airport - Escanaba, MI
Delta Junction Airport - Delta Junction, AK
Deming Airport - Deming, NM
Demopolis Municipal - Demopolis, AL
Denio Junction - Denio, NV
Denison Municipal Airport - Denison, IA
Denton - Denton, MT
Denton Municipal - Denton, TX
Denver City - Denver City, TX
Denver International Airport - Denver, CO
Derby Field - Lovelock, NV
Dermott Municipal - Dermott, AR
Des Moines International Airport - Des Moines, IA
Desert Aire - Mattawa, WA
Desert Center - Desert Center, CA
Desert Rock Airport - Mercury, NV
Deshler Municipal - Deshler, OH
Destin-Fort Walton Beach Airport - Destin, FL
Detroit Lakes Municipal Airport - Detroit Lakes, MN
Detroit Metropolitan Wayne County Airport - Detroit, MI
Detroit Naval Air Field - Mount Clemens, MI
Devils Lake Airport - Devils Lake, ND
Devils Track Airport - Grand Marais, MN
Devine Municipal - Devine, TX
Dew Memorial - Toronto, OH
Dew Station Airport - Lonely, AK
Dew Station Airport - Point Lay, AK
Dexter Municipal - Dexter, MO
Dexter Regional - Dexter, ME
Diamondhead - Diamondhead, MS
Dickinson Airport - Dickinson, ND
Dickson Municipal Airport - Dickson, TN
Dillant-Hopkins Airport - Keene, NH
Dilley - Dilley, TX
Dillingham Airfield - Oahu, HI
Dillingham Municipal Airport - Dillingham, AK
Dillon Airport - Dillon, MT
Dillon Airport - Dillon, SC
Dimmitt Municipal - Dimmitt, TX
Dinsmore - Dinsmore, CA
Dinwiddie County Airport - Petersburg, VA
Diomede Island Airport - Diomede Island, AK
Dixie Usfs - Dixie, ID
Dixon - Dixon, WY
Dixon Mun-Walgreen - Dixon, IL
Dobbins Air Force Base - Marietta, GA
Dobie'S - Inola, OK
